lag_error,ahead_error,error_sum,overshoot_error,current_sum,curr_vel
-0.033107353,0.032286717,0.065394071,-0.005193472,36.90811899,5.363215538
-0.080773428,0.025070743,0.105844171,0.018255472,30.68403709,5.333975526
-0.05705364,0.020092563,0.077146203,0.013477564,35.45305634,6.130478019
-0.043738338,0.026525949,0.070264287,0.010196924,34.36587858,6.070625
-0.071028388,0.05210473,0.123133118,0.018005669,56.33545721,9.418367345
-0.064235844,0.031252518,0.095488362,-0.004451394,49.8249653,9.045231221
-0.063036158,0.031547978,0.094584136,0.006973624,26.58228052,4.344379287
-0.046278193,0.020752385,0.067030578,0.007103324,27.95280445,4.300269422
-0.041317179,0.025305226,0.066622405,0.000770926,29.84016764,4.495643672
-0.04037118,0.03027773,0.07064891,-0.009732842,29.21805489,4.190009257
-0.055263995,0.032629728,0.087893723,-0.011085153,34.80662787,4.98053902
-0.03874798,0.030958608,0.069706588,0.001039863,22.15749234,3.533122224
-0.034229305,0.030115394,0.064344699,0.000885367,31.00679854,4.884762742
-0.032759189,0.030552626,0.063311814,-0.004052758,28.72583514,4.388289289
-0.042776584,0.04057765,0.083354234,-0.011388421,41.32024691,6.341834547
-0.0583539,0.057686567,0.116040467,-0.016708016,60.90766925,9.113343628
-0.040408108,0.02901347,0.069421578,0.001179159,27.75958446,4.383739477
-0.033333375,0.022524074,0.055857449,0.001718938,21.50320159,3.284926918
-0.029972387,0.026830627,0.056803015,-0.003882945,29.61806506,4.665983812
-0.031669928,0.040042831,0.071712759,-0.00828892,43.94694896,6.8902078
-0.034921957,0.038412048,0.073334005,-0.009978831,43.03421816,6.731002729
-0.042799546,0.022474483,0.065274029,0.002159536,23.14857602,3.830971879
-0.035724773,0.019035116,0.054759889,-0.001367152,31.16294849,6.322893881
-0.027248693,0.022415114,0.049663808,-0.003566325,31.72511172,4.790637444
-0.024147345,0.03168483,0.055832174,-0.003531992,31.23173968,4.967968478
-0.027298285,0.030090286,0.057388571,-0.006143153,35.25660536,5.449473072
-0.076027289,0.025079743,0.101107032,0.015276372,31.63130355,5.356560303
-0.049511328,0.017589585,0.067100913,0.008720815,31.16457319,4.909618322
-0.046045304,0.027841212,0.073886517,0.014980733,36.06740713,6.029880851
-0.048910783,0.025106716,0.074017499,0.005785406,41.2084831,6.507563348
-0.062530828,0.036739303,0.099270132,-0.013036311,35.88760799,5.261588283
-0.088589505,0.022072252,0.110661757,0.011373937,32.64054263,5.388237536
-0.043100729,0.00997545,0.053076179,0.004200399,24.77782685,3.866284433
-0.036988318,0.018164338,0.055152656,0.002430379,33.06696355,5.111028913
-0.037457108,0.021488429,0.058945538,-0.002372324,32.79523483,4.95223096
-0.064571692,0.058540298,0.12311199,-0.017217219,59.38941956,9.030497693
